Cites,Authors,Title,Year,Source,,,,,
81,"IF Ogbonnaya-Ogburu, ADR Smith, A To, ...",Critical race theory for HCI,2020,Proceedings of the 2020 …,,,,,
204,"I Moon, M Lee, J Chu, M Mun",Wearable EMG-based HCI for electric-powered wheelchair users with motor disabilities,2005,Proceedings of the 2005 IEEE …,,,,,
570,"M Nielsen, M Störring, TB Moeslund, ...",A procedure for developing intuitive and ergonomic gesture interfaces for HCI,2003,International gesture …,,,,,
273,"S Bardzell, J Bardzell","Towards a feminist HCI methodology: social science, feminism, and HCI",2011,Proceedings of the SIGCHI conference on human …,,,,,
307,"A Dearden, J Finlay",Pattern languages in HCI: A critical review,2006,Human–computer interaction,,,,,
673,J Nielsen,Guerrilla HCI: Using discount usability engineering to penetrate the intimidation barrier,1994,Cost-justifying usability,,,,,
261,"V Kaptelinin, B Nardi",Affordances in HCI: toward a mediated action perspective,2012,Proceedings of the SIGCHI conference on human …,,,,,
76,"P Sanches, A Janson, P Karpashevich, ...",HCI and Affective Health: Taking stock of a decade of studies and charting future research directions,2019,Proceedings of the …,,,,,
177,G Cockton,Value-centred HCI,2004,Proceedings of the third Nordic conference on Human …,,,,,
381,"K Swearingen, R Sinha",Beyond algorithms: An HCI perspective on recommender systems,2001,ACM SIGIR 2001 workshop on recommender …,,,,,
261,"S Lindtner, GD Hertz, P Dourish","Emerging sites of HCI innovation: hackerspaces, hardware startups & incubators",2014,… of the SIGCHI Conference on Human …,,,,,
456,"J Pascoe, N Ryan, D Morse",Using while moving: HCI issues in fieldwork environments,2000,ACM Transactions on Computer-Human …,,,,,
218,"A Følstad, PB Brandtzæg",Chatbots and the new world of HCI,2017,interactions,,,,,
190,"J Long, J Dowell","Conceptions of the discipline of HCI: Craft, applied science, and engineering",1989,,,,,,
236,"KR Bhaskar, P Garik, BS Turner, JD Bradley, R Bansil, ...",Viscous fingering of HCI through gastric mucin,1992,Nature,,,,,
203,"S Mahapatra, D Saha, D Varghese, ...","On the generation and recovery of interface traps in MOSFETs subjected to NBTI, FN, and HCI stress",2006,IEEE Transactions on …,,,,,
254,"WE Mackay, AL Fayard","HCI, natural science and design: a framework for triangulation across disciplines",1997,Proceedings of the 2nd conference on …,,,,,
376,"H Wu, M Siegel, R Stiefelhagen, ...",Sensor fusion using Dempster-Shafer theory [for context-aware HCI],2002,IMTC/2002. Proceedings …,,,,,
208,L Bannon,Reimagining HCI: toward a more human-centered perspective,2011,interactions,,,,,
181,"GN Jham, FFF Teles, LG Campos",Use of aqueous HCI/MeOH as esterification reagent for analysis of fatty acids derived from soybean lipids,1982,Journal of the American Oil Chemists …,,,,,
302,P Kortum,"HCI beyond the GUI: Design for haptic, speech, olfactory, and other nontraditional interfaces",2008,,,,,,
329,"S Kristoffersen, F Ljungberg",“Making place” to make IT work: empirical explorations of HCI for mobile CSCW,1999,Proceedings of the international ACM …,,,,,
150,JA Rode,A theoretical agenda for feminist HCI,2011,Interacting with Computers,,,,,
253,"EB Hekler, P Klasnja, JE Froehlich, ...","Mind the theoretical gap: interpreting, using, and developing behavioral theory in HCI research",2013,Proceedings of the …,,,,,
364,"MM Wanderley, N Orio",Evaluation of input devices for musical expression: Borrowing tools from hci,2002,Computer Music Journal,,,,,
172,"C Neustaedter, P Sengers",Autobiographical design in HCI research: designing and learning through use-it-yourself,2012,Proceedings of the Designing Interactive …,,,,,
250,"CS De Souza, CF Leitão",Semiotic engineering methods for scientific research in HCI,2009,Synthesis Lectures on Human …,,,,,
339,"C Satchell, P Dourish",Beyond the user: use and non-use in HCI,2009,Proceedings of the 21st annual conference of the …,,,,,
127,"J Bardzell, S Bardzell",Humanistic hci,2015,Synthesis Lectures on Human …,,,,,
118,"J Pierce, Y Strengers, P Sengers, S Bødker",Introduction to the special issue on practice-oriented approaches to sustainable HCI,2013,,,,,,
262,"J Vines, G Pritchard, P Wright, P Olivier, ...",An age-old problem: Examining the discourses of ageing in HCI and strategies for future research,2015,ACM Transactions on …,,,,,
206,"JC Lee, DS Tan",Using a low-cost electroencephalograph for task classification in HCI research,2006,Proceedings of the 19th annual ACM symposium on …,,,,,
354,"T Rodden, K Cheverst, K Davies, A Dix",Exploiting context in HCI design for mobile systems,1998,Workshop on human computer …,,,,,
50,C Frauenberger,Entanglement HCI the next wave?,2019,ACM Transactions on Computer-Human Interaction …,,,,,
113,"C Stephanidis, G Salvendy, M Antona, ...",Seven HCI grand challenges,2019,… Journal of Human …,,,,,
255,"A Grimes, R Harper",Celebratory technology: new directions for food research in HCI,2008,Proceedings of the SIGCHI conference on human …,,,,,
202,"J Keane, X Wang, D Persaud, ...","An all-in-one silicon odometer for separately monitoring HCI, BTI, and TDDB",2010,IEEE Journal of Solid …,,,,,
268,"P Bourges-Waldegg, SAR Scrivener","Meaning, the central issue in cross-cultural HCI design",1998,Interacting with computers,,,,,
198,"N Dell, V Vaidyanathan, I Medhi, E Cutrell, ...",""" Yours is better!"" participant response bias in HCI",2012,Proceedings of the …,,,,,
197,"A Schlesinger, WK Edwards, RE Grinter","Intersectional HCI: Engaging identity through gender, race, and class",2017,… of the 2017 CHI conference on …,,,,,
207,"S Whittaker, L Terveen, BA Nardi",Let's stop pushing the envelope and start addressing it: a reference task agenda for HCI,2000,Human–Computer Interaction,,,,,
147,"A Adams, P Lunt, P Cairns",A qualititative approach to HCI research,2008,,,,,,
182,"A Tabazadeh, RP Turco",Stratospheric chlorine injection by volcanic eruptions: HCI scavenging and implications for ozone,1993,Science,,,,,
204,"S Harrison, P Sengers, D Tatar",Making epistemological trouble: Third-paradigm HCI as successor science,2011,Interacting with computers,,,,,
158,JJ Kaye,Making Scents: aromatic output for HCI,2004,interactions,,,,,
181,P Dragicevic,Fair statistical communication in HCI,2016,Modern statistical methods for HCI,,,,,
305,"AN Tuch, SP Roth, K Hornbæk, K Opwis, ...","Is beautiful really usable? Toward understanding the relation between usability, aesthetics, and affect in HCI",2012,Computers in Human …,,,,,
145,A Holzinger,Human-Computer Interaction and Knowledge Discovery (HCI-KDD): What is the benefit of bringing those two fields to work together?,2013,"International conference on availability, reliability, and …",,,,,
243,"J Abascal, C Nicolle",Moving towards inclusive design guidelines for socially and ethically aware HCI,2005,Interacting with computers,,,,,
335,MD Byrne,ACT-R/PM and menu selection: Applying a cognitive architecture to HCI,2001,International Journal of Human-Computer Studies,,,,,
169,"E Giaccardi, E Karana",Foundations of materials experience: An approach for HCI,2015,Proceedings of the 33rd Annual ACM …,,,,,
199,A Sutcliffe,On the effective use and reuse of HCI knowledge,2000,ACM Transactions on Computer-Human Interaction …,,,,,
63,"J Frich, L MacDonald Vermeulen, C Remy, ...",Mapping the landscape of creativity support tools in HCI,2019,Proceedings of the …,,,,,
134,"SJ Jackson, L Kang","Breakdown, obsolescence and reuse: HCI and the art of repair",2014,Proceedings of the SIGCHI conference on human …,,,,,
160,Y Visell,Tactile sensory substitution: Models for enaction in HCI,2009,Interacting with Computers,,,,,
150,"YJ Reimer, SA Douglas",Teaching HCI design with the studio approach,2003,Computer science education,,,,,
204,"J Zimmerman, J Forlizzi",Research through design in HCI,2014,Ways of Knowing in HCI,,,,,
131,"ET Solovey, A Girouard, K Chauncey, ...",Using fNIRS brain sensing in realistic HCI settings: experiments and guidelines,2009,Proceedings of the …,,,,,
162,"MA Blythe, AF Monk, K Doughty",Socially dependable design: The challenge of ageing populations for HCI,2005,Interacting with Computers,,,,,
194,"H Keleş, M Keleş, I Dehri, O Serindağ",The inhibitive effect of 6-amino-m-cresol and its Schiff base on the corrosion of mild steel in 0.5 M HCI medium,2008,Materials Chemistry and Physics,,,,,
175,"N Tractinsky, D Zmiri",Exploring attributes of skins as potential antecedents of emotion in HCI,2006,Aesthetic computing,,,,,
160,"F Nunes, N Verdezoto, G Fitzpatrick, M Kyng, ...","Self-care technologies in HCI: Trends, tensions, and opportunities",2015,ACM Transactions on …,,,,,
135,AH Jørgensen,Marrying HCI/Usability and computer games: a preliminary look,2004,Proceedings of the third Nordic conference on Human …,,,,,
93,"P Dourish, J Finlay, P Sengers, P Wright",Reflective HCI: Towards a critical technical practice,2004,CHI'04 extended abstracts on …,,,,,
118,"JS Olson, WA Kellogg",Ways of Knowing in HCI,2014,,,,,,
252,"FFH Nah, S Davis",HCI research issues in e-commerce,2002,Journal of Electronic Commerce Research,,,,,
49,"O Keyes, J Hoy, M Drouhard",Human-computer insurrection: Notes on an anarchist HCI,2019,Proceedings of the 2019 CHI Conference …,,,,,
118,"E Cutrell, D Tan",BCI for passive input in HCI,2008,Proceedings of CHI,,,,,
150,"C DiSalvo, J Lukens, T Lodato, T Jenkins, ...",Making public things: how HCI design can express matters of concern,2014,Proceedings of the …,,,,,
171,SC Seow,Information theoretic models of HCI: A comparison of the Hick-Hyman law and Fitts' law,2005,Human-computer interaction,,,,,
305,"BJ Mason, EC Ritvo, RO Morgan, ...","A double‐blind, placebo‐controlled pilot study to evaluate the efficacy and safety of oral nalmefene HCI for alcohol dependence",1994,Alcoholism: Clinical …,,,,,
122,"M Massimi, A Charise","Dying, death, and mortality: towards thanatosensitivity in HCI",2009,CHI'09 Extended Abstracts on Human Factors in …,,,,,
271,"J Wnek, RS Michalski",Hypothesis-driven constructive induction in AQ17-HCI: A method and experiments,1994,Machine Learning,,,,,
91,"C Elsden, A Manohar, J Briggs, M Harding, ...",Making sense of blockchain applications: A typology for HCI,2018,Proceedings of the …,,,,,
115,"C Kiefer, N Collins, G Fitzpatrick",HCI Methodology For Evaluating Musical Controllers: A Case Study.,2008,NIME,,,,,
167,S Bødker,"Third-wave HCI, 10 years later---participation and sharing",2015,interactions,,,,,
88,"T Clemmensen, V Kaptelinin, B Nardi",Making HCI theory work: an analysis of the use of activity theory in HCI research,2016,Behaviour & Information …,,,,,
178,"JH Obradovich, DD Woods",Users as designers: how people cope with poor HCI design in computer-based medical devices,1996,Human factors,,,,,
142,"JF Roesler, RA Yetter, FL Dryer","Kinetic interactions of CO, NOx, and HCI emissions in postcombustion gases",1995,Combustion and flame,,,,,
147,"D Lorenz, G Georgakos, ...",Aging analysis of circuit timing considering NBTI and HCI,2009,2009 15th IEEE …,,,,,
83,TJ Tanenbaum,Design fictional interactions: why HCI should care about stories,2014,interactions,,,,,
97,"D Scott, M Rutty, B Amelung, M Tang",An inter-comparison of the holiday climate index (HCI) and the tourism climate index (TCI) in Europe,2016,Atmosphere,,,,,
30,"A Tyack, ED Mekler",Self-determination theory in HCI games research: current uses and open questions,2020,Proceedings of the 2020 CHI Conference on …,,,,,
179,"PT Fischer, E Hornecker",Urban HCI: spatial aspects in the design of shared encounters for media facades,2012,Proceedings of the SIGCHI Conference on …,,,,,
102,"A Oulasvirta, K Hornbæk",Hci research as problem-solving,2016,Proceedings of the 2016 CHI Conference on …,,,,,
157,"A Blandford, D Furniss, S Makri",Qualitative HCI research: Going behind the scenes,2016,Synthesis lectures on human …,,,,,
105,"M Massimi, W Odom, R Banks, D Kirk",Matters of life and death: locating the end of life in lifespan-oriented HCI research,2011,Proceedings of the sigchi …,,,,,
71,"L Clark, P Doyle, D Garaialde, E Gilmartin, ...","The state of speech in HCI: Trends, themes and challenges",2019,Interacting with …,,,,,
183,"J Dyck, D Pinelle, BAT Brown, C Gutwin",Learning from Games: HCI Design Innovations in Entertainment Software.,2003,Graphics interface,,,,,
113,"N Dell, N Kumar",The ins and outs of HCI for development,2016,Proceedings of the 2016 CHI conference on human …,,,,,
109,"J Bardzell, S Bardzell",Pleasure is your birthright: digitally enabled designer sex toys as a case of third-wave HCI,2011,Proceedings of the SIGCHI conference on Human …,,,,,
132,"A Dünser, R Grasset, H Seichter, M Billinghurst",Applying HCI principles to AR systems design,2007,,,,,,
138,D Mwanza,Towards an activity-oriented design method for HCI research and practice,2002,,,,,,
146,L Barkhuus,The mismeasurement of privacy: using contextual integrity to reconsider privacy in HCI,2012,Proceedings of the SIGCHI Conference on Human …,,,,,
116,"AS Patrick, AC Long, S Flinn",HCI and security systems,2003,CHI'03 Extended Abstracts on Human …,,,,,
180,J Grudin,A moving target: The evolution of HCI,2008,The human-computer interaction handbook …,,,,,
123,"K Hornbæk, M Hertzum",Technology acceptance and user experience: A review of the experiential component in HCI,2017,ACM Transactions on Computer-Human …,,,,,
156,A Light,HCI as heterodoxy: Technologies of identity and the queering of interaction with computers✩,2011,Interacting with computers,,,,,
92,"A Lazar, C Edasis, AM Piper",A Critical Lens on Dementia and Design in HCI.,2017,CHI,,,,,
37,"S Sultana, SI Ahmed","Witchcraft and hci: Morality, modernity, and postcolonial computing in rural bangladesh",2019,Proceedings of the 2019 CHI Conference on …,,,,,
143,PB Andersen,What semiotics can and cannot do for HCI,2001,Knowledge-Based Systems,,,,,
130,"S Lindtner, S Bardzell, J Bardzell",Reconstituting the utopian vision of making: HCI after technosolutionism,2016,… of the 2016 CHI Conference on …,,,,,
108,"D Benyon, C Macaulay",Scenarios and the HCI-SE design problem,2002,Interacting with computers,,,,,
95,"J Pierce, P Sengers, T Hirsch, T Jenkins, ...",Expanding and refining design and criticality in HCI,2015,Proceedings of the 33rd …,,,,,
117,"S Jumisko-Pyykkö, T Vainio",Framing the context of use for mobile HCI,2010,International journal of mobile human …,,,,,
126,"C Peters, G Castellano, S De Freitas",An exploration of user engagement in HCI,2009,Proceedings of the International …,,,,,
77,"D Ledo, S Houben, J Vermeulen, N Marquardt, ...",Evaluation strategies for HCI toolkit research,2018,Proceedings of the …,,,,,
151,"Y Sato, M Saito, H Koike",Real-time input of 3D pose and gestures of a user's hand and its applications for HCI,2001,Proceedings IEEE Virtual Reality …,,,,,
123,"R Francese, I Passero, G Tortora",Wiimote and Kinect: gestural user interfaces add a natural third dimension to HCI,2012,Proceedings of the International …,,,,,
108,"CS de Souza, CF Leitão, RO Prates, SA Bim, ...",Can inspection methods generate valid new knowledge in HCI? The case of semiotic inspection,2010,International Journal of …,,,,,
108,JO Wobbrock,The future of mobile device research in HCI,2006,CHI 2006 workshop proceedings: what is the …,,,,,
104,I Benbasat,HCI research: Future challenges and directions,2010,AIS Transactions on Human-Computer Interaction,,,,,
61,"Q Yang, N Banovic, J Zimmerman",Mapping machine learning advances from hci research to reveal starting places for design innovation,2018,… of the 2018 CHI Conference on …,,,,,
105,"H Kufluoglu, MA Alam",A geometrical unification of the theories of NBTI and HCI time-exponents and its implications for ultra-scaled planar and surround-gate MOSFETs,2004,IEDM Technical Digest. IEEE …,,,,,
101,"J Day, J Foley",Evaluating web lectures: A case study from HCI,2006,CHI'06 Extended Abstracts on Human Factors in …,,,,,
97,"P Wright, M Blythe, J McCarthy",User experience and the idea of design in HCI,2005,International Workshop on Design …,,,,,
105,"S Chen, J Epps, N Ruiz, F Chen",Eye activity as a measure of human mental effort in HCI,2011,… of the 16th international conference on …,,,,,
16,"S Stumpf, A Peters, S Bardzell, ...",Gender-inclusive HCI research and design: A conceptual review,2020,… and Trends in …,,,,,
103,"S Pink, KL Mackley, V Mitchell, M Hanratty, ...",Applying the lens of sensory ethnography to sustainable HCI,2013,ACM Transactions on …,,,,,
23,"J Hardy, S Wyche, T Veinot","Rural HCI research: Definitions, distinctions, methods, and opportunities",2019,Proceedings of the ACM on Human …,,,,,
99,"Y Shiyanovskii, F Wolff, A Rajendran, ...",Process reliability based trojans through NBTI and HCI effects,2010,2010 NASA/ESA …,,,,,
93,NA Van House,Feminist HCI meets Facebook: Performativity and social networking sites,2011,Interacting with computers,,,,,
88,C Mancini,"Animal-computer interaction (ACI) changing perspective on HCI, participation and sustainability",2013,CHI'13 Extended Abstracts on Human Factors in …,,,,,
109,"J McCarthy, P Wright",Putting 'felt-life'at the centre of human–computer interaction (HCI),2005,"Cognition, technology & work",,,,,
104,"JM Carroll, MB Rosson",Wild at home: The neighborhood as a living laboratory for HCI,2013,ACM Transactions on Computer-Human …,,,,,
182,RD Amos,"Electric and magnetic properties of CO, HF, HCI, and CH3F",1982,Chemical Physics Letters,,,,,
93,"P Dalsgaard, C Dindler",Between theory and practice: bridging concepts in HCI research,2014,Proceedings of the SIGCHI conference on …,,,,,
127,"K Ruhland, CE Peters, S Andrist, ...","A review of eye gaze in virtual agents, social robotics and hci: Behaviour generation, user interaction and perception",2015,Computer graphics …,,,,,
100,"B Friedman, LP Nathan",Multi-lifespan information system design: A research initiative for the HCI community,2010,Proceedings of the SIGCHI Conference on …,,,,,
64,"K Doherty, G Doherty","Engagement in HCI: conception, theory and measurement",2018,ACM Computing Surveys (CSUR),,,,,
51,"EF Churchill, A Bowser, J Preece","The future of HCI education: a flexible, global, living curriculum",2016,Interactions,,,,,
80,"Y Wang, S Cotofana, L Fang",A unified aging model of NBTI and HCI degradation towards lifetime reliability management for nanoscale MOSFET circuits,2011,2011 IEEE/ACM International …,,,,,
71,"J Forlizzi, J Zimmerman, S Evenson",Crafting a place for interaction design research in HCI,2008,Design Issues,,,,,
138,"JF Pane, BA Myers, LB Miller",Using HCI techniques to design a more usable programming system,2002,Proceedings IEEE 2002 …,,,,,
94,J Pierce,On the presentation and production of design research artifacts in HCI,2014,Proceedings of the 2014 conference on Designing …,,,,,
62,"P Sengers, J McCarthy, P Dourish",Reflective HCI: articulating an agenda for critical practice,2006,CHI'06 extended abstracts on …,,,,,
86,"GR Naik, DK Kumar, VP Singh, ...",Hand gestures for HCI using ICA of EMG,2006,ACM International …,,,,,
180,"KK Murray, DG Leopold, TM Miller, ...","Photoelectron spectroscopy of the halocarbene anions HCF−, HCCl−, HCBr−, HCI−, CF−2, and CCl−2",1988,The Journal of …,,,,,
96,"A Bulling, D Roggen, G Tröster",It's in your eyes: Towards context-awareness and mobile HCI using wearable EOG goggles,2008,… of the 10th international conference on …,,,,,
126,IG Maglogiannis,"Emerging artificial intelligence applications in computer engineering: real word ai systems with applications in ehealth, hci, information retrieval and pervasive …",2007,,,,,,
15,"O Keyes, B Peil, RM Williams, K Spiel","Reimagining (women's) health: HCI, gender and essentialised embodiment",2020,ACM Transactions on Computer …,,,,,
80,J Grudin,AI and HCI: Two fields divided by a common focus,2009,Ai Magazine,,,,,
34,"HS Alavi, EF Churchill, M Wiberg, D Lalanne, ...",Introduction to Human-Building Interaction (HBI) Interfacing HCI with Architecture and Urban Design,2019,,,,,,
89,"J Kjeldskov, MB Skov",Was it worth the hassle? Ten years of mobile HCI research discussions on lab and field evaluations,2014,Proceedings of the 16th international conference …,,,,,
71,"MS Silberman, L Nathan, B Knowles, R Bendor, ...",Next steps for sustainable HCI,2014,interactions,,,,,
60,MC Marcos,HCI (human computer interaction): concepto y desarrollo,2001,El profesional de la información,,,,,
60,"M Obrist, E Gatti, E Maggioni, CT Vi, ...",Multisensory experiences in HCI,2017,IEEE MultiMedia,,,,,
77,"T Almeida, R Comber, M Balaam",HCI and Intimate Care as an Agenda for Change in Women's Health,2016,… of the 2016 CHI Conference on …,,,,,
53,"J Fredericks, GA Caldwell, M Tomitsch",Middle-out design: collaborative community engagement in urban HCI,2016,Proceedings of the 28th …,,,,,
31,"C Katsini, Y Abdrabou, GE Raptis, M Khamis, ...",The role of eye gaze in security and privacy applications: Survey and future HCI research directions,2020,Proceedings of the 2020 …,,,,,
96,"C Fiesler, S Morrison, AS Bruckman",An archive of their own: a case study of feminist HCI and values in design,2016,… of the 2016 CHI conference on …,,,,,
81,"J Kjeldskov, J Paay",A longitudinal review of Mobile HCI research methods,2012,Proceedings of the 14th international conference …,,,,,
91,"D Roedl, S Bardzell, J Bardzell",Sustainable making? Balancing optimism and criticism in HCI discourse,2015,ACM Transactions on Computer …,,,,,
73,"M Kay, GL Nelson, EB Hekler",Researcher-centered design of statistics: Why Bayesian statistics better fit the culture and incentives of HCI,2016,Proceedings of the 2016 CHI Conference …,,,,,
84,"D Bruneau, MA Sasse, JD McCarthy",The eyes never lie: the use of eyetracking data in HCI research,2002,,,,,,
91,"B Tomlinson, MS Silberman, D Patterson, ...",Collapse informatics: augmenting the sustainability & ICT4D discourse in HCI,2012,Proceedings of the …,,,,,
89,"J Pearson, J Hu, HP Branigan, MJ Pickering, ...",Adaptive language behavior in HCI: how expectations and beliefs about a system affect users' word choice,2006,Proceedings of the …,,,,,
110,"C Stephanidis, D Akoumianakis, ...",Universal accessibility in HCI: Process-oriented design guidelines and tool requirements,1998,… of the 4th ERCIM …,,,,,
76,"H Hochheiser, J Lazar",HCI and societal issues: A framework for engagement,2007,International Journal of Human [# x02013] …,,,,,
64,"V Righi, S Sayago, J Blat","When we talk about older people in HCI, who are we talking about? Towards a 'turn to community'in the design of technologies for a growing ageing population",2017,International Journal of Human-Computer …,,,,,
19,"A Thieme, D Belgrave, G Doherty",Machine learning in mental health: A systematic review of the HCI literature to support the development of effective and implementable ML systems,2020,ACM Transactions on Computer …,,,,,
80,"C D'Ignazio, A Hope, B Michelson, R Churchill, ...","A Feminist HCI Approach to Designing Postpartum Technologies: "" When I first saw a breast pump I was wondering if it was a joke""",2016,Proceedings of the …,,,,,
84,"G Kannabiran, J Bardzell, S Bardzell","How HCI talks about sexuality: discursive strategies, blind spots, and opportunities for future research",2011,Proceedings of the SIGCHI …,,,,,
76,"WK Edwards, MW Newman, ES Poole",The infrastructure problem in HCI,2010,Proceedings of the SIGCHI …,,,,,
106,"M Harding, B Knowles, N Davies, ...","HCI, civic engagement & trust",2015,Proceedings of the 33rd …,,,,,
52,Y Pan,Fashion thinking and sustainable HCI,2014,CHI'14 Extended Abstracts on Human Factors in …,,,,,
78,MCC Baranauskas,Social awareness in HCI,2014,interactions,,,,,
88,"A Nijholt, D Tan, B Allison, J del R. Milan, ...",Brain-computer interfaces for HCI and games,2008,CHI'08 extended …,,,,,
47,"H Schneider, M Eiband, D Ullrich, A Butz",Empowerment in HCI-A survey and framework,2018,Proceedings of the 2018 CHI …,,,,,
71,"H Winschiers-Theophilus, NJ Bidwell",Toward an Afro-Centric indigenous HCI paradigm,2013,International Journal of …,,,,,
84,"WW Gaver, J Bowers, K Boehner, A Boucher, ...",Indoor weather stations: investigating a ludic approach to environmental HCI through batch prototyping,2013,Proceedings of the …,,,,,
140,"J Pascoe, NS Ryan, DR Morse",Human computer giraffe interaction: HCI in the field,1998,,,,,,
82,"ST Acuña, JW Castro, N Juristo",A HCI technique for improving requirements elicitation,2012,Information and Software Technology,,,,,
105,"CH Morimoto, D Koons, A Amit, ...",Keeping an eye for HCI,1999,… Graphics and Image …,,,,,
100,"R Aigner, D Wigdor, H Benko, M Haller, ...",Understanding mid-air hand gestures: A study of human preferences in usage of gesture types for hci,2012,… TechReport MSR-TR …,,,,,
131,"C Nicolle, J Abascal",Inclusive design guidelines for HCI,2001,,,,,,
71,"M Chetty, RE Grinter",HCI4D: HCI challenges in the global south,2007,CHI'07 extended abstracts on Human factors in …,,,,,
73,"C DiSalvo, K Boehner, NA Knouf, ...",Nourishing the ground for sustainable HCI: considerations from ecologically engaged art,2009,Proceedings of the SIGCHI …,,,,,
87,"A Holzinger, C Stocker, B Ofner, G Prohaska, ...","Combining HCI, natural language processing, and knowledge discovery-potential of IBM content analytics as an assistive technology in the biomedical field",2013,… Workshop on Human …,,,,,
152,"C Stephanidis, G Salvendy, ...",Toward an Information Society for All: HCI challenges and R&D recommendations,1999,… Journal of Human …,,,,,
111,J Canny,The Future of Human-Computer Interaction: Is an HCI revolution just around the corner?,2006,Queue,,,,,
76,"CM Gray, E Stolterman, MA Siegel",Reprioritizing the relationship between HCI research and practice: bubble-up and trickle-down effects,2014,Proceedings of the 2014 conference …,,,,,
74,"N Kumar, J Kumar",Measurement of cognitive load in HCI systems using EEG power spectrum: an experimental study,2016,Procedia Computer Science,,,,,
33,"K Spiel, OL Haimson, D Lottridge",How to do better with gender on surveys: a guide for HCI researchers,2019,Interactions,,,,,
18,"M Rutty, D Scott, L Matthews, R Burrowes, A Trotman, ...",An inter-comparison of the Holiday Climate Index (HCI: Beach) and the Tourism Climate Index (TCI) to explain Canadian tourism arrivals to the Caribbean,2020,Atmosphere,,,,,
91,"D Salber, AK Dey, GD Abowd",Ubiquitous computing: Defining an hci research agenda for an emerging interaction paradigm,1998,,,,,,
89,B Shneiderman,Creativity support tools: A grand challenge for HCI researchers,2009,Engineering the user interface,,,,,
97,"N Henry, H Goodell, N Elmqvist, ...",20 years of four HCI conferences: A visual exploration,2007,International Journal of …,,,,,
