Cites,Authors,Title,Year,Source
356,"S Oviatt, P Cohen, L Wu, L Duncan…",Designing the user interface for multimodal speech and pen-based gesture applications: State-of-the-art systems and future research directions,2000,… -computer interaction
347,AJ Sellen,Remote conversations: The effects of mediating talk with technology,1995,Human-computer interaction
325,"T Kanda, T Hirano, D Eaton, H Ishiguro",Interactive robots as social partners and peer tutors for children: A field trial,2004,Human-Computer Interaction
316,"JR Olson, GM Olson",The growth of cognitive modeling in human-computer interaction since GOMS,1990,Human–computer interaction
307,"S Kiesler, D Zubrow, AM Moses, V Geller",Affect in computer-mediated communication: An experiment in synchronous terminal-to-terminal discussion,1985,Human-Computer Interaction
307,"A Newell, SK Card",The prospects for psychological science in human-computer interaction,1985,Human-computer interaction
290,RJ Anderson,Representations and requirements: The value of ethnography in system design,1994,Human-computer interaction
285,"B O'Conaill, S Whittaker, S Wilbur",Conversations over video conferences: An evaluation of the spoken aspects of video-mediated communication,1993,Human-computer interaction
285,"JS Brown, P Duguid",Borderline issues: Social and material aspects of design,1994,Human–Computer Interaction
274,"GM Olson, JS Olson, MR Carter…",Small group design meetings: An analysis of collaboration,1992,… –Computer Interaction
274,PL McLeod,An assessment of the experimental literature on electronic support of group work: Results of a meta-analysis,1992,Human–Computer Interaction
274,"PG Polson, CH Lewis",Theory-based design for easily learned interfaces,1990,Human–Computer Interaction
273,"DC McFarlane, KA Latorella",The scope and importance of human interruption in human-computer interaction design,2002,Human-Computer Interaction
272,"V Bellotti, K Edwards",Intelligibility and accountability: human considerations in context-aware systems,2001,Human–Computer Interaction
268,"TP Moran, P Dourish",Introduction to this special issue on context-aware computing,2001,Human–Computer Interaction
267,"RE Kraut, SR Fussell, J Siegel",Visual information as a conversational resource in collaborative physical tasks,2003,Human-computer interaction
259,P Dourish,Seeking a foundation for context-aware computing,2001,Human–Computer Interaction
258,S Oviatt,Multimodal interactive maps: Designing for human performance,1997,Human-Computer Interaction
253,"L Sproull, M Subramani, S Kiesler, JH Walker…",When the interface is a face,1996,… -Computer Interaction
251,"JM Carroll, PL Smith-Kerker, JR Ford…",The minimal manual,1987,… -Computer Interaction
250,S Greenberg,Context as a dynamic construct,2001,Human-Computer Interaction
240,"P Dourish, G Button","On"" technomethodology"": Foundational relationships between ethnomethodology and system design",1998,Human-Computer Interaction
238,"JR Anderson, M Matessa, C Lebiere",ACT-R: A theory of higher level cognition and its relation to visual attention,1997,Human-Computer Interaction
232,"PM Sanderson, C Fisher",Exploratory sequential data analysis: Foundations,1994,Human–Computer Interaction
232,"J Blomberg, L Suchman, RH Trigg",Reflections on a work-oriented design project,1996,Human-Computer Interaction
229,"S Bovair, DE Kieras, PG Polson",The acquisition and performance of text-editing skill: A cognitive complexity analysis,1990,Human-Computer Interaction
224,"C Floyd, WM Mehl, FM Reisin, G Schmidt…",Out of Scandinavia: Alternative approaches to software design and system development,1989,… -Computer Interaction
222,D McFarlane,Comparison of four primary methods for coordinating the interruption of people in human-computer interaction,2002,Human-Computer Interaction
218,"R Rubinstein, H Hersh",The human factor: Designing computer systems for people,1987,
214,"RE Kraut, J Galegher, C Egido",Relationships and tasks in scientific research collaboration,1987,Human–Computer Interaction
213,S Bodker,A human activity approach to user interfaces,1989,Human-Computer Interaction
212,SG Straus,"Technology, group process, and group outcomes: Testing the connections in computer-mediated and face-to-face groups",1997,Human-computer interaction
207,GL Lohse,A cognitive model for understanding graphical perception,1993,Human-Computer Interaction
200,"C Lewis, DA Norman",Designing for error,1995,Human-computer interaction
200,"HA Yanco, JL Drury, J Scholtz",Beyond usability evaluation: Analysis of human-robot interaction at a major robotics competition,2004,Human–Computer Interaction
191,"PC Wright, RE Fields, MD Harrison",Analyzing human-computer interaction as distributed cognition: the resources model,2000,Human-Computer Interaction
190,"JL Burke, RR Murphy, MD Coovert…",Moonlight in Miami: Field study of human-robot interaction in the context of an urban search and rescue disaster response training exercise,2004,… –Computer Interaction
190,"S Kiesler, B Zdaniuk, V Lundmark…",Troubles with the Internet: The dynamics of help at home,2000,… -Computer Interaction
189,"S Bødker, K Grønbæk, M Kyng",Cooperative design: techniques and experiences from the Scandinavian scene,1995,Human-computer interaction
187,"JM Carroll, RL Mack, CH Lewis…",Exploring exploring a word processor,1985,… -computer interaction
186,"H Koike, Y Sato, Y Kobayashi",Integrating paper and digital information on EnhancedDesk: a method for realtime finger tracking on an augmented desk system,2001,… on Computer-Human Interaction
185,"C Heath, P Luff",Media space and communicative asymmetries: Preliminary observations of video-mediated interaction,1992,Human–Computer Interaction
185,"MW Newman, J Lin, JI Hong, JA Landay",DENIM: An informal web site design tool inspired by observations of practice,2003,Human-Computer Interaction
174,"S Zhai, M Hunter, BA Smith",Performance optimization of virtual keyboards,2002,Human–Computer Interaction
170,JG March,How decisions happen in organizations,1991,Human-Computer Interaction
167,"MK Sein, RP Bostrom",Individual differences and conceptual models in training novice users,1989,Human-Computer Interaction
160,"HR Hartson, PD Gray",Temporal aspects of tasks in the user action notation,1992,Human-computer interaction
159,"JC Spohrer, E Soloway, E Pope",A goal/plan analysis of buggy Pascal programs,1985,Human–Computer Interaction
158,"J Mackinlay, SK Card, GG Robertson",A semantic analysis of the design space of input devices,1990,Human-Computer Interaction
158,S Bødker,Creating conditions for participation: Conflicts and resources in systems development,1996,Human-computer interaction
156,"JR Anderson, R Jeffries",Novice LISP errors: Undetected losses of information from working memory,1985,Human–Computer Interaction
154,"R Kraut, J Galegher, R Fish…",Task requirements and media choice in collaborative writing,1992,… –Computer Interaction
154,"SJ Buckingham Shum, A MacLean…",Graphical argumentation and design cognition,1997,… -Computer Interaction
150,"MB Rosson, SR Alpert",The cognitive consequences of object-oriented design,1990,Human-Computer Interaction
150,"F Kensing, J Simonsen, K Bodker",MUST: A method for participatory design,1998,Human-Computer Interaction
150,"A Dearden, J Finlay",Pattern languages in HCI: A critical review,2006,Human–computer interaction
147,PE Agre,Changing places: Contexts of awareness in computing,2001,Human-computer interaction
147,J Grudin,Systematic sources of suboptimal interface design in large product development organizations,1991,Human-Computer Interaction
147,"PJ Hinds, TL Roberts, H Jones",Whose job is it anyway? A study of human-robot interaction in a collaborative task,2004,Human-Computer Interaction
146,"WT Fu, P Pirolli",SNIF-ACT: A cognitive model of user navigation on the World Wide Web,2007,Human–Computer Interaction
140,J McKendree,Effective feedback content for tutoring complex skills,1990,Human-Computer Interaction
139,"WB Rouse, ND Geddes, RE Curry",An architecture for intelligent interfaces: Outline of an approach to supporting operators of complex systems,1987,Human-Computer Interaction
139,"V Bellotti, N Ducheneaut, M Howard, I Smith…",Quality versus quantity: E-mail-centric task management and its relation with overload,2005,… -computer interaction
137,S Thrun,Toward a framework for human-robot interaction,2004,Human–Computer Interaction
134,"S Whittaker, L Terveen, BA Nardi",Let's stop pushing the envelope and start addressing it: a reference task agenda for HCI,2000,Human–Computer Interaction
133,ADN Edwards,Soundtrack: An auditory interface for blind users,1989,Human-Computer Interaction
133,"J Bonar, E Soloway",Preprogramming knowledge: A major source of misconceptions in novice programmers,1985,Human–Computer Interaction
133,"M Frese, F Brodbeck, T Heinbokel…",Errors in training computer skills: On the positive function of errors,1991,… -Computer Interaction
130,"DD Salvucci, JR Anderson",Automated eye-movement protocol analysis,2001,Human-Computer Interaction
129,"M Ackerman, T Darrell, DJ Weitzner",Privacy in context,2001,… –Computer Interaction
127,"S Palmiter, J Elkerton",Animated demonstrations for learning procedural computer-based tasks,1993,Human-Computer Interaction
127,"AJ Sellen, GP Kurtenbach, WAS Buxton",The prevention of mode errors through sensory feedback,1992,Human-Computer Interaction
126,"RD Sorkin, DD Woods",Systems with human monitors: A signal detection analysis,1985,Human-Computer Interaction
125,W Zachary,A cognitively based functional taxonomy of decision support techniques,1986,Human-Computer Interaction
124,"SR Fussell, LD Setlock, J Yang, J Ou, E Mauer…",Gestures over video streams to support remote collaboration on physical tasks,2004,… -Computer Interaction
123,"J Forlizzi, C DiSalvo, F Gemperle",Assistive robotics and an ecology of elders living independently in their homes,2004,Human-Computer Interaction
122,D Kirsh,The context of work,2001,Human–Computer Interaction
121,"SF Roth, MC Chuah, S Kerpedjiev…",Toward an information visualization workspace: Combining multiple means of expression,1997,… -Computer Interaction
121,"GP Kurtenbach, AJ Sellen, WAS Buxton",An empirical evaluation of some articulatory and cognitive aspects of marking menus,1993,Human-Computer Interaction
120,"JO Blom, AF Monk",Theory of personalization of appearance: why users personalize their pcs and mobile phones,2003,Human-Computer Interaction
117,KJ Schmucker,MacApp: an application framework,1987,Human-computer interaction
117,"G Fischer, J Grudin, A Lemke, R McCall…",Supporting indirect collaborative design with integrated knowledge-based design environments,1992,… -Computer Interaction
113,"J Morkes, HK Kernal, C Nass",Effects of humor in task-oriented human-computer interaction and computer-mediated communication: A direct test of SRCT theory,1999,Human-Computer Interaction
111,"JM Carroll, MB Rosson",Deliberated evolution: Stalking the View Matcher in design space,1991,Human–Computer Interaction
110,"JR Olson, E Nilsen",Analysis of the cognition involved in spreadsheet software interaction,1987,Human-Computer Interaction
110,"LM Gomez, DE Egan, C Bowers",Learning to use a text editor: Some learner characteristics that predict success,1986,Human-Computer Interaction
109,"JM Carroll, RL Campbell",Softening up hard science: reply to newel1 and card,1986,Human-Computer Interaction
105,"C Fabricatore, M Nussbaum, R Rosas",Playability in action videogames: A qualitative design model,2002,Human-Computer Interaction
105,"LG Terveen, PG Selfridge, MD Long","Living design memory: Framework, implementation, lessons learned",1995,Human-Computer Interaction
103,"JT Mayes, SW Draper, AM McGregor…",Information flow in a user interface: the effect of experience and context on the recall of MacWrite screens,1990,… -computer interaction
102,"P Hagen, T Robertson, M Kan, K Sadler",Emerging research methods for understanding mobile technology use,2005,… Computer-Human Interaction: …
102,J Grudin,Desituating action: Digital representation of context,2001,Human-Computer Interaction
101,"P Brusilovsky, L Pesin, M Zyryanov",Towards an adaptive hypermedia component for an intelligent learning environment,1993,Human-computer interaction
100,"D Salber, J Coutaz",Applying the wizard of oz technique to the study of multimodal systems,1993,Human-Computer Interaction
100,"CS Miller, RW Remington",Modeling information navigation: Implications for information architecture,2004,Human-Computer Interaction
99,"A Crabtree, T Hemmings, T Rodden…",Designing with care: Adapting cultural probes to inform design in sensitive settings,2003,… -Human Interaction ( …
98,"S Greenberg, C Gutwin…",Semantic telepointers for groupware,1996,"… -Human Interaction, 1996. …"
98,S Bodker,Understanding representation in design,1998,Human-Computer Interaction
96,W Buxton,Introduction to this special issue on nonspeech audio,1989,Human Computer Interaction
96,AM Shapiro,Promoting active learning: The role of system structure in learning from hypertext,1998,Human-Computer Interaction
96,"P Dourish, K Anderson",Collective information practice: emploring privacy and security as social and cultural phenomena,2006,Human-computer interaction
94,"SAN Shafer, B Brumitt, JJ Cadiz",Interaction issues in context-aware intelligent environments,2001,Human-Computer Interaction
94,B Shackel,Human factors and usability,1990,Human-computer interaction
94,"S Kiesler, P Hinds",Introduction to this special issue on human-robot interaction,2004,Human–Computer Interaction
91,"SK Card, M Pavel, JE Farrell",Window-based computer dialogues,1987,Human-computer interaction
91,SJ Mountford,Tools and techniques for creative design,1995,Human-computer interaction
91,JM Carroll,Minimalist design for active users,1987,Human-computer interaction
90,"DJ Duke, PJ Barnard, DA Duce…",Syndetic modelling,1998,… -Computer Interaction
89,SJ Payne,Understanding calendar use,1993,Human-Computer Interaction
88,"A Sellen, A Nicol",Building User-centered on-line help,1995,Human-computer interaction
87,TRG Green,The cognitive dimension of viscosity: a sticky problem for HCI,1990,Human-Computer Interaction
86,"M Kitajima, PG Polson",A comprehension-based model of exploration,1997,Human-Computer Interaction
85,"IR Katz, JR Anderson",Debugging: An analysis of bug-location strategies,1987,Human-Computer Interaction
85,"SK Bhavnani, BE John",The strategic use of complex computer systems,2000,Human-computer interaction
84,"JM Carroll, TP Moran",Introduction to this special issue on design rationale,1991,Human–Computer Interaction
84,A Marcus,Principles of effective visual communication for graphical user interface design,1995,Human-computer interaction
84,"NA Bradley, MD Dunlop",Toward a multidisciplinary model of context to support context-aware computing,2005,Human-Computer Interaction
84,"G Casiez, D Vogel, R Balakrishnan…",The impact of control-display gain on user performance in pointing tasks,2008,… –Computer Interaction
83,"S Viller, I Sommerville",Coherence: an approach to representing ethnographic analyses in systems design,1999,Human–Computer Interaction
82,"V Kaptelinin, K Kuutti, L Bannon",Activity theory: Basic concepts and applications,1995,Human-computer interaction
81,"S Puntambekar, A Stylianou…",Improving navigation and learning in hypertext environments with navigable concept maps,2003,… -Computer Interaction
81,"J Gartner, I Wagner",Mapping actors and agendas: Political frameworks of systems design and participation,1996,Human–Computer Interaction
80,"CM Kessler, JR Anderson",Learning flow of control: Recursive and iterative procedures,1986,Human-Computer Interaction
79,"GM Olson, JD Herbsleb, HH Rueter",Characterizing the sequential structure of interactive behaviors through statistical and grammatical techniques,1994,Human-Computer Interaction
79,"CM Seifert, EL Hutchins",Error as opportunity: Learning in a cooperative task,1992,Human–Computer Interaction
79,"N Pennington, AY Lee, B Rehder",Cognitive activities and levels of abstraction in procedural and object-oriented design,1995,Human–Computer Interaction
79,S Whittaker,Things to talk about when talking about things,2003,Human–Computer Interaction
79,"J Nievergelt, J Weydert","Sites, modes, and trails: Telling the user of an interactive system where he is, what he can do, and how to get to places (excerpt)",1987,
78,ED Mynatt,Transforming graphical interfaces into auditory interfaces for blind users,1997,Human–Computer Interaction
77,"SM Doane, JW Pellegrino, RL Klatzky",Expertise in a computer operating system: Conceptualization and performance,1990,Human-Computer Interaction
77,AA di Sessa,A principled design for an integrated computational environment,1985,Human-computer interaction
76,"P Luff, C Heath, H Kuzuoka, J Hindmarsh…",Fractured ecologies: creating environments for collaboration,2003,… -Computer Interaction
76,"S Bødker, PB Andersen",Complex mediation,2005,Human-Computer Interaction
76,"JS Brown, SE Newman",Issues in cognitive and social ergonomics: from our house to Bauhaus,1985,Human–Computer Interaction
72,C Haas,Does the medium make a difference? Two studies of writing with pen and paper and with computers,1989,Human-Computer Interaction
71,"JD Herbsleb, H Klein, GM Olson…",Object-oriented analysis and design in software project teams,1995,… Computer Interaction
69,"N Ducheneaut, LA Watts",In search of coherence: a review of e-mail research,2005,Human–Computer Interaction
68,"K Crowston, TW Malone, F Lin",Cognitive science and organizational design: A case study of computer conferencing,1987,Human–Computer Interaction
68,"E Matias, IS MacKenzie, W Buxton",One-handed touch typing on a QWERTY keyboard,1996,Human-Computer Interaction
68,D Svanaes,Context-aware technology: a phenomenological perspective,2001,Human–Computer Interaction
67,MJ Tauber,On mental models and the user interface,1990,Human-computer interaction
67,"SJ Payne, HR Squibb, A Howes",The nature of device models: the yoked state space hypothesis and some experiments with text editors,1990,Human-Computer Interaction
66,"JN Bailenson, N Yee, S Brave, D Merget…",Virtual interpersonal touch: expressing and recognizing emotions through haptic devices,2007,… –Computer Interaction
66,"AN Joinson, UD Reips, T Buchanan…","Privacy, trust, and self-disclosure online",2010,… –Computer Interaction
65,"KC Dohse, T Dohse, JD Still…",Enhancing multi-user interaction with multi-touch tabletop displays using hand tracking,2008,"… -Human Interaction, …"
64,"DH Charney, LM Reder",Designing interactive tutorials for computer users,1986,Human-Computer Interaction
64,"MF Valstar, M Pantic",Combined support vector machines and hidden markov models for modeling facial action temporal dynamics,2007,Human–Computer Interaction
62,"PJ Barnard, J May",Representing cognitive activity in complex tasks,1999,Human-Computer Interaction
62,S Whittaker,Supporting collaborative task management in e-mail,2005,Human–Computer Interaction
62,"JM DiMicco, KJ Hollenbach, A Pandolfo…",The impact of increased awareness while face-to-face,2007,… –Computer Interaction
60,"T Bladh, DA Carr, J Scholl",Extending tree-maps to three dimensions: A comparative study,2004,Computer Human Interaction
59,"G Fitzpatrick, T Mansfield…",Locales framework: Exploring foundations for collaboration support,1996,"… -Human Interaction, 1996. …"
59,"U Bärkle, G Gryczan, H Zällighoven","Object-oriented system development in a banking project: Methodology, experience, and conclusions",1995,Human-Computer Interaction
59,"A Howes, RM Young",The role of cognitive architecture in modeling the user: Soar's learning mechanism,1997,Human–Computer Interaction
59,"N Ducheneaut, V Bellotti",Ceci n'est pas un Objet? Talking About Objects in E-mail,2003,Human-Computer Interaction
58,"NJ Cooke, KJ Neville, AL Rowe",Procedural network representations of sequential data,1996,Human-Computer Interaction
58,G Perlman,Making the right choices with menus,1987,Human-computer interaction
58,"Y Rogers, Y Lim, WR Hazlewood…",Equal opportunities: Do shareable interfaces promote more group participation than single user displays?,2009,… –Computer Interaction
57,RS Amant,User interface affordances in a planning representation,1999,Human-Computer Interaction
56,AJ Hornof,Cognitive strategies for the visual search of hierarchical computer displays,2004,Human-Computer Interaction
56,"MK Singley, JR Anderson",A keystroke analysis of learning and transfer in text editing,1987,Human-Computer Interaction
56,SC Seow,Information theoretic models of HCI: a comparison of the Hick-Hyman law and Fitts' law,2005,Human-Computer Interaction
55,"A Oulasvirta, R Petit, M Raento…",Interpreting and acting on mobile awareness cues,2007,… –Computer Interaction
55,"B Friedman, PH Kahn Jr, J Hagman…",The watcher and the watched: Social judgments about privacy in a public place,2006,… -Computer Interaction
55,RS Rist,Knowledge creation and retrieval in program design: A comparison of novice and intermediate student programmers,1991,Human-Computer Interaction
55,BE John,TYPIST: A theory of performance in skilled typing,1996,Human-Computer Interaction
54,"L Sproull, S Kiesler","Computers, networks and work",1995,Human-computer interaction
54,"I Benbasat, AS Dexter, P Todd",The influence of color and graphical information presentation in a managerial decision simulation,1986,Human-Computer Interaction
54,"DA Varakin, DT Levin, R Fidler",Unseen and unaware: Implications of recent research on failures of visual awareness for human-computer interface design,2004,Human–Computer Interaction
54,"D MacGregor, P Slovic",Graphic representation of judgmental information,1986,Human-Computer Interaction
54,"WD Gray, RM Young, SS Kirschenbaum",Introduction to this special issue on cognitive architectures and human-computer interaction,1997,Human-computer interaction
54,"JG Trafton, SB Trickett",Note-taking for self-explanation and problem solving,2001,Human-Computer Interaction
54,"S Whittaker, V Bellotti, P Moody",Introduction to this special issue on revisiting and reinventing e-mail,2005,Human-Computer Interaction
54,DA Norman,"Introduction to this special section on beauty, goodness, and usability",2004,Human-Computer Interaction
53,L Karsenty,Cooperative work and shared visual context: An empirical study of comprehension problems in side-by-side and remote help dialogues,1999,Human-Computer Interaction
53,"RD Stevens, ADN Edwards…",Access to mathematics for visually disabled students through multimodal interaction,1997,… –Computer Interaction
53,"FE Ritter, JH Larkin",Developing process models as summaries of HCI action sequences,1994,Human-Computer Interaction
53,"E Vural, M Cetin, A Ercil, G Littlewort, M Bartlett…",Drowsy driver detection through facial movement analysis,2007,… –Computer Interaction
52,RA Duisberg,Animation using temporal constraints: An overview of the Animus system,1987,Human-Computer Interaction
52,"S Carter, J Mankoff, SR Klemmer…",Exiting the cleanroom: On ecological validity and ubiquitous computing,2008,… –Computer Interaction
52,"M Hassenzahl, A Monk",The inference of perceived usability from beauty,2010,Human–Computer Interaction
51,JM Carroll,Encountering others: Reciprocal openings in participatory design and user-centered design,1996,Human–Computer Interaction
51,"D Gillet, S El Helou, CM Yu…",Turning Web 2.0 social software into versatile collaborative learning solutions,2008,"… -Human Interaction, …"
51,"M Ziefle, S Bay",How to overcome disorientation in mobile phone menus: A comparison of two different types of navigation aids,2006,Human-Computer Interaction
50,J Gwizdka,What's in the context,2000,Computer Human Interaction
50,RA Bolt,Conversing and computers,1987,Human-computer interaction
50,W Visser,Designing as construction of representations: A dynamic viewpoint in cognitive design research,2006,Human–Computer Interaction
49,"T Lin, M Omata, W Hu, A Imamiya",Do physiological data relate to traditional usability indexes?,2005,… on Computer-Human Interaction: …
48,PJ Durlach,Change blindness and its implications for complex monitoring and control systems design and operator training,2004,Human–Computer Interaction
48,"J Coutaz, L Nigay, D Salber",The MSM framework: a design space for multi-sensori-motor systems,1993,Human-Computer Interaction
48,"C Bigelow, D Day",Digital typography,1987,
48,L Herman,Towards effective usability evaluation in Asia: Cross-cultural differences,1996,"Computer-Human Interaction, 1996. Proceedings., …"
47,MG Christel,The role of visual fidelity in computer-based instruction,1994,Human-Computer Interaction
47,"A Sears, J Feng, K Oseitutu, CM Karat","Hands-free, speech-based navigation during dictation: difficulties, consequences, and solutions",2003,Human-computer interaction
47,G Fischer,Articulating the task at hand and making information relevant to it,2001,Human-Computer Interaction
46,"A Marcus, VJ Baumgartner",A practical set of culture dimensions for global user-interface development,2004,Computer Human Interaction
46,"RE Kraut, S Sunder, R Telang, J Morris",Pricing electronic mail to solve the problem of spam,2005,Human-Computer Interaction
46,"T Matthews, T Rattenbury, S Carter","Defining, designing, and evaluating peripheral displays: An analysis using activity theory",2007,Human–Computer Interaction
45,F Détienne,Design strategies and knowledge in object-oriented programming: effects of experience,1995,Human–Computer Interaction
45,"M Benerecetti, P Bouquet, M Bonifacio",Distributed context-aware systems,2001,Human-Computer Interaction
44,P Pirolli,A cognitive model and computer tutor for programming recursion,1986,Human-Computer Interaction
44,"WD Gray, BE John, R Stuart, D Lawrence…",GOMS meets the phone company: Analytic modeling applied to real-world problems,1995,… -computer interaction
44,"MD Fleetwood, MD Byrne",Modeling the visual search of displays: a revised ACT-R model of icon search based on eye-tracking data,2006,Human-Computer Interaction
43,"C Britton, S Jones",The untrained eye: how languages for software specification support understanding in untrained users,1999,Human–Computer Interaction
42,"C Lewis, J Rieman, B Bell",Problem-centered design for expressiveness and facility in a graphical programming system,1991,Human–Computer Interaction
42,M McCullough,On typologies of situated interaction,2001,Human-Computer Interaction
41,"DS Tan, P Keyani, M Czerwinski",Spy-resistant keyboard: more secure password entry on public touch screen displays,2005,… on Computer-Human Interaction: …
41,"D Martin, M Rouncefield",Making the organization come alive: Talking through and about the technology in remote banking,2003,Human–Computer Interaction
41,"PA Bibby, SJ Payne",Internalizing and the use specificity of device knowledge,1993,Human-Computer Interaction
41,G Symon,The work of IT system developers in context: an organizational case study,1998,Human-Computer Interaction
41,"A Newell, S Card",Straightening out softening up: response to Carroll and Campbell,1986,Human-Computer Interaction
40,BG Silverman,Human-computer collaboration,1992,Human-Computer Interaction
40,"E O'Neill, P Johnson, H Johnson",Representations and user-developer interaction in cooperative analysis and design,1999,Human-Computer Interaction
40,"D Randall, J O'Brien, M Rouncefield…",Organisational memory and CSCW: supporting theMavis Phenomenon',1996,"… -Human Interaction, …"
39,"SP Davies, DJ Gilmore, TRG Green",Are objects that important? Effects of expertise and familiarity on classification of object-oriented code,1995,… –Computer Interaction
39,"K Holtzblatt, S Jones",Conducting and analyzing a contextual interview (excerpt),1995,Human-computer interaction
39,"OU Vortac, MB Edwards…",Sequences of actions for individual and teams of air traffic controllers,1994,… –Computer Interaction
39,"P Barr, R Biddle, J Noble",A taxonomy of user-interface metaphors,2002,… Symposium on Computer-Human Interaction
39,"H Oinas-Kukkonen, M Harjumaa",Towards deeper understanding of persuasion in software and information systems,2008,… Computer-Human Interaction …
38,"B Mehlenbacher, TM Duffy, J Palmer",Finding information on a menu: Linking menu organization to the user's goals,1989,Human-Computer Interaction
37,"J Kjeldskov, MB Skov",Supporting work activities in healthcare by mobile electronic patient records,2004,Computer Human Interaction
36,"FE Ritter, JH Larkin",Using process models to summarize sequences of human actions,1994,Human-Computer Interaction
36,"A Sliney, D Murphy",JDoc: A serious game for medical learning,2008,Advances in Computer-Human Interaction …
35,"G Fischer, D Redmiles, L Williams, GI Puhr…",Beyond object-oriented technology: where current approaches fall short,1995,… -Computer Interaction
35,"DP Brumby, A Howes",Strategies for guiding interactive search: An empirical investigation into the consequences of label relevance for assessment and selection,2008,Human–Computer Interaction
35,"D Frohlich, P Drew, A Monk",Management of repair in human-computer interaction,1994,Human–Computer Interaction
34,"M Linard, R Zeiliger",Designing navigational support for educational software,1995,Human-Computer Interaction
34,"H Cooper, R Bowden",Large lexicon detection of sign language,2007,Human–Computer Interaction
33,"BA Huberman, M Kaminsky",Beehive: A system for cooperative filtering and sharing of information,1996,Computer Human Interaction
33,"CM Jones, IM Jonsson",Automatic recognition of affective cues in the speech of car drivers to allow appropriate responses,2005,… conference on Computer-Human Interaction: …
33,"TW Leong, F Vetere, S Howard",The serendipity shuffle,2005,… on Computer-Human Interaction: …
